Nome;Categoria;Prezzo;Peso;Kcal;Carboidrati;Zuccheri;Grassi;Fibre;Proteine
CarrefourCarrefour Classic Tè al Limone 1,5 L;acqua e bevande;€ 0,85;1500.0 ml;34 kcal;8,3 g;8,3 g;0 g;N/D;0 g
CarrefourCarrefour Classic Tè Verde 1,5 L;acqua e bevande;€ 0,85;1500.0 ml;28 kcal;6,9 g;6,7 g;0 g;N/D;<0,5 g
CarrefourCarrefour Classic Sciroppo di Menta 500 ml;acqua e bevande;€ 2,69;500.0 ml;370 kcal;92 g;89 g;0 g;N/D;0 g
CarrefourCarrefour Sciroppo alla Menta con Menta Piemonte 1,5 L;acqua e bevande;€ 6,49;1500.0 ml;370 kcal;92 g;89 g;0,0 g;N/D;0,0 g
FabbriFabbri Menta 560 ml;acqua e bevande;€ 6,10;560.0 ml;338 kcal;84 g;84 g;N/D;N/D;N/D
SimplSimpl Succo e polpa di Pesca 6 x 200 ml;acqua e bevande;€ 1,75;1200.0 ml;58 kcal;14 g;14 g;0 g;<0,5 g;<0,5 g
CarrefourCarrefour Classic Bicarbonato di Sodio 500 g;acqua e bevande;€ 1,19;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Succo e polpa di Pera 6 x 200 ml;acqua e bevande;€ 1,75;1200.0 ml;54 kcal;13 g;12 g;0 g;<0,5 g;<0,5 g
LEVISSIMALEVISSIMA, Acqua Frizzante R-PET 25% 6 x 0,5 L;acqua e bevande;€ 1,39;3.0 l;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Bevanda Senza Zuccheri Aggiunti* Arancia Bionda 1 L;acqua e bevande;€ 1,89;1000.0 ml;26 kcal;5,9 g;5,9 g;0 g;N/D;0,5 g
CarrefourCarrefour Succo Mela limpida 1 L;acqua e bevande;€ 1,85;1000.0 ml;43 kcal;11 g;10 g;0 g;N/D;<0,5 g
CarrefourCarrefour Extra Succo Ananas 100% Frutta 1 L;acqua e bevande;€ 1,85;1000.0 ml;48 kcal;11 g;11 g;0 g;0,6 g;<0,5 g
CarrefourCarrefour Classic Bicarbonato di Sodio 1000 g;acqua e bevande;€ 2,35;1000.0 g;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Succo e polpa di Albicocca 6 x 200 ml;acqua e bevande;€ 1,75;1200.0 ml;57 kcal;14 g;13 g;0 g;<0,5 g;<0,5 g
CarrefourCarrefour Extra Succo Tropicale 100% Frutta 1 L;acqua e bevande;€ 1,85;1000.0 ml;42 kcal;9,6 g;9,5 g;<0,5 g;<0,5 g;<0,5 g
CarrefourCarrefour Classic Bevanda Senza Zuccheri Aggiunti* Ananas 1 L;acqua e bevande;€ 1,69;1000.0 ml;27 kcal;6,6 g;6,6 g;0 g;N/D;<0,5 g
CarrefourCarrefour Extra Succo Pompelmo 100% Frutta 1 L;acqua e bevande;€ 1,85;1000.0 ml;35 kcal;8,0 g;8,0 g;0 g;0,5 g;0,6 g
CarrefourCarrefour Pera nettare 6 x 125 ml;acqua e bevande;€ 2,75;750.0 ml;65 kcal;16 g;12 g;<0,5 g;0,6 g;<0,5 g
CarrefourCarrefour Albicocca nettare 6 x 125 ml;acqua e bevande;€ 2,75;750.0 ml;61 kcal;15 g;14 g;<0,5 g;0,5 g;<0,5 g
CarrefourCarrefour Pesca nettare 6 x 125 ml;acqua e bevande;€ 2,75;750.0 ml;67 kcal;16 g;14 g;<0,5 g;0,5 g;<0,5 g
CarrefourCarrefour Pomodoro Succo 6 x 125 ml;acqua e bevande;€ 2,49;750.0 ml;16 kcal;3,0 g;3,0 g;0 g;0,6 g;0,8 g
EstathéEstathé limone vetro 0,25 L;acqua e bevande;€ 3,95;750.0 ml;32 kcal;7,8;7,7;0;N/D;0
EstathéEstathé pesca vetro 0,25 L;acqua e bevande;€ 3,95;750.0 ml;32 kcal;7,7;7,7;0;N/D;0
ValmoraValmora Sorgente Alpina Naturale 6 x 1,5 L;acqua e bevande;€ 3,00;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
Sant'AnnaSant'Anna Sorgente Rebruant 1950 m Naturale 6 x 1,5 L;acqua e bevande;€ 1,99;N/D;N/D;N/D;N/D;N/D;N/D;N/D
ValmoraValmora Sorgente Alpina Frizzante 6 x 1,5 L;acqua e bevande;€ 3,00;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
Coca-Cola OriginalCoca-Cola Original 2 x 1.5L;acqua e bevande;€ 5,39;3.0 l;42 kcal;10.6 g;10.6 g;0 g;N/D;0 g
Coca-Cola Zero ZuccheriCoca-Cola Zero Zuccheri 2 x 1.5L;acqua e bevande;€ 5,39;3.0 l;0.2 kcal;0 g;0 g;0 g;N/D;0 g
LEVISSIMALEVISSIMA, Acqua Naturale 6 x 2L;acqua e bevande;€ 4,86;12.0 l;N/D;N/D;N/D;N/D;N/D;N/D
LeteLete Acqua Minerale Effervescente Naturale 6 x 1,5 l;acqua e bevande;€ 2,88;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
LEVISSIMALEVISSIMA, Acqua Naturale 6 x 50cl;acqua e bevande;€ 1,39;3.0 l;N/D;N/D;N/D;N/D;N/D;N/D
S.BernardoS.Bernardo Rocciaviva Naturale 6 x 1,5 L;acqua e bevande;€ 3,54;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
LauretanaLauretana naturale 6 x 1500 ml;acqua e bevande;€ 3,78;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
FerrarelleFerrarelle 6 x 1,5 L;acqua e bevande;€ 3,06;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
RocchettaRocchetta Naturale Gualdo Tadino 6 x 1,5 L;acqua e bevande;€ 3,72;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
Coca-Cola Zero ZuccheriCoca-Cola Zero Zuccheri 6 x 330ml;acqua e bevande;€ 3,99;1980.0 ml;0.2 kcal;N/D;N/D;N/D;N/D;N/D
VeraVera Naturale 6 x 1,5 l;acqua e bevande;€ 2,94;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
Sant'AnnaSant'Anna di Vinadio Frizzante 6 x 1,5 L;acqua e bevande;€ 1,99;N/D;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Albume d'Uovo 500 g;acqua e bevande;€ 1,79;N/D;182kJ (43kcal);0,9g;0g;0g;N/D;9,8g
EstathéEstathé limone 1,5 L;acqua e bevande;€ 2,05;1500.0 ml;31 kcal;7,7 g;7,7 g;0 g;N/D;0 g
Zuegg SkipperZuegg Skipper Pesca Senza zuccheri aggiunti* 3 x 200 ml;acqua e bevande;€ 1,95;600.0 ml;147 kJ/ 35 kcal;8 g;6,3 g;0 g;N/D;0 g
Fuze Tea ZeroFuze Tea Senza Zuccheri, Tè Nero Pesca Con Una Nota Di Rosa 1.25L;acqua e bevande;€ 1,75;1250.0 ml;1 kcal;0 g;0 g;0 g;N/D;0 g
PepsiPepsi Zero Zucchero Zero Caffeina 1,5 L;acqua e bevande;€ 1,29;1500.0 ml;0,5 kcal;<0,1 g;0,0 g;0,0 g;N/D;<0,1 g
Sant'AnnaSant'Anna Sorgente Rebruant 1950m Naturale 6 x 0,5 Litri;acqua e bevande;€ 1,98;N/D;N/D;N/D;N/D;N/D;N/D;N/D
BoarioBoario Naturale 6 x 1,5 L;acqua e bevande;€ 2,70;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
PepsiPepsi Zero Zucchero 1,5 L;acqua e bevande;€ 1,29;1500.0 ml;0,6 kcal;<0,1 g;0,0 g;0,0 g;N/D;<0,1 g
Coca-Cola Zero ZuccheriCoca-Cola Zero Zuccheri 10 x 330ml Lattina;acqua e bevande;€ 8,10;3300.0 ml;0.2 kcal;0 g;0 g;0 g;N/D;0 g
Coca-Cola OriginalCoca-Cola Original 6 x 330ml;acqua e bevande;€ 3,99;1980.0 ml;42 kcal;10.6 g;10.6 g;N/D;N/D;N/D
Brio RossaBrio Rossa Più Frizzante Gualdo Tadino 6 x 1,5 litri;acqua e bevande;€ 3,78;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
Sprite ZeroSprite Zero Zuccheri 1,5L PET;acqua e bevande;€ 2,19;1500.0 ml;1 kcal;0 g;0 g;0 g;N/D;0 g
Coca-Cola Zero Zuccheri Zero CaffeinaCoca-Cola Zero Zuccheri Zero Caffeina 6 x 330ml;acqua e bevande;€ 3,99;1980.0 ml;0.2 kcal;N/D;N/D;N/D;N/D;N/D
MonsterMonster Energy Ultra White 500ml;acqua e bevande;€ 1,65;500.0 ml;2 kcal;0,9 g;0 g;N/D;N/D;N/D
EstathéEstathé limone 3 x 200 ml;acqua e bevande;€ 1,89;600.0 ml;31 kcal;7,7 g;7,7 g;0 g;N/D;0 g
San BenedettoSan Benedetto Oligominerale Benedicta Frizzante 6 x 1,5 L;acqua e bevande;€ 2,88;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
Coca-Cola OriginalCoca-Cola Original 10 x 330ml Lattina;acqua e bevande;€ 8,10;3300.0 ml;42 kcal;10.6 g;10.6 g;0 g;N/D;0 g
San BenedettoSan Benedetto Oligominerale Benedicta Frizzante 6 x 0,5 L;acqua e bevande;€ 1,92;3.0 l;N/D;N/D;N/D;N/D;N/D;N/D
LeteLete Acqua Minerale Effervescente Naturale 6 x 50 cl;acqua e bevande;€ 1,92;3.0 l;N/D;N/D;N/D;N/D;N/D;N/D
FantaFanta Original 1.5L;acqua e bevande;€ 2,19;1500.0 ml;46 kcal;11 g;11 g;0 g;N/D;0 g
VitasnellaVitasnella Naturale 6 x 0,5 L;acqua e bevande;€ 2,16;3.0 l;N/D;N/D;N/D;N/D;N/D;N/D
Coca-Cola Zero ZuccheriCoca-Cola Zero Zuccheri 6 x 150ml;acqua e bevande;€ 3,55;900.0 ml;0.2 kcal;N/D;N/D;N/D;N/D;N/D
San BenedettoSan Benedetto Acqua Naturale Benedicta Ecogreen 6 x 0,5 L;acqua e bevande;€ 1,92;3.0 l;N/D;N/D;N/D;N/D;N/D;N/D
Coca-Cola Zero ZuccheriCoca-Cola Zero Zuccheri 4 x 1.5L;acqua e bevande;€ 10,40;6.0 l;0.2 kcal;0 g;0 g;0 g;N/D;0 g
San BenedettoSan Benedetto Allegra 1,5 L;acqua e bevande;€ 0,99;1500.0 ml;23 kcal;5,1 g;5,1 g;0 g;N/D;0,1 g
EstathéEstathé limone 400 ml;acqua e bevande;€ 0,99;400.0 ml;31 kcal;7,7 g;7,7 g;0 g;N/D;0 g
Zuegg SkipperZuegg Skipper Pera Senza zuccheri aggiunti* 3 x 200 ml;acqua e bevande;€ 1,95;600.0 ml;144 kJ/ 34 kcal;7,8 g;6,2 g;0 g;N/D;0 g
FrasassiFrasassi Acqua Minerale Naturale 6 x 1,5 L;acqua e bevande;€ 2,10;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
KinleyKinley Tonic Water 1L;acqua e bevande;€ 1,19;1000.0 ml;31 kcal;7.3 g;7.3 g;0 g;N/D;0 g
Fonte essenzialeFonte essenziale Acqua Minerale Naturale Termale 6 x 1 L;acqua e bevande;€ 5,28;6.0 l;N/D;N/D;N/D;N/D;N/D;N/D
SANPELLEGRINOBIBITE SANPELLEGRINO, Bevanda Gassata, Cocktail, Pet - 120cl;acqua e bevande;€ 1,45;1200.0 ml;53 kcal;12,8 g;12,8 g;0 g;0 g;0 g
Coca-Cola OriginalCoca-Cola Original 4 x 660ml;acqua e bevande;€ 5,15;2640.0 ml;42 kcal;10.6 g;10.6 g;0 g;N/D;0 g
Coca-Cola Zero ZuccheriCoca-Cola Zero Zuccheri 4 x 660ml;acqua e bevande;€ 5,15;2640.0 ml;0.2 kcal;0 g;0 g;0 g;N/D;0 g
YogaYoga Pesca 1000 ml;acqua e bevande;€ 1,85;1000.0 ml;58 kcal;13,7 g;12,3 g;0,1 g;0,4 g;0,3 g
Carrefour BioCarrefour Bio Frullato alla Mela Carota Albicocca 120 g;acqua e bevande;€ 0,95;120.0 g;45 kcal;10 g;8,4 g;<0,5 g;1,3 g;<0,5 g
UlivetoUliveto 6 x 0,5 L;acqua e bevande;€ 2,28;3.0 l;N/D;N/D;N/D;N/D;N/D;N/D
San BenedettoSan Benedetto Acqua Naturale Benedicta Ecogreen Easy 6 x 1 L;acqua e bevande;€ 2,28;6.0 l;N/D;N/D;N/D;N/D;N/D;N/D
LEVISSIMALEVISSIMA, Acqua Frizzante R-PET 25% 6 x 0,5 L;acqua e bevande;€ 1,39;3.0 l;N/D;N/D;N/D;N/D;N/D;N/D
SantàlSantal Succo di Frutta ACE Senza Zuccheri Aggiunti 1000 ml;acqua e bevande;€ 2,15;1000.0 ml;31 kcal;7,8 g;6,9 g;0 g;N/D;0 g
CarrefourCarrefour Cola Zero 1,5 L;acqua e bevande;€ 0,79;1500.0 ml;0,2 kcal;<0,5 g;<0,5 g;0 g;N/D;0 g
PepsiPepsi Zero Zucchero Gusto Lime 1,5 L;acqua e bevande;€ 1,29;1500.0 ml;0,7 kcal;0,1 g;0,0 g;0,0 g;N/D;0,1 g
Carrefour BioCarrefour Bio Frullato di frutta alla Mela 120 g;acqua e bevande;€ 0,95;120.0 g;48 kcal;11 g;9,0 g;<0,5 g;1,3 g;<0,5 g
Coca-Cola OriginalCoca-Cola Original 4 x 1.5L;acqua e bevande;€ 10,40;6.0 l;42 kcal;10.6 g;10.6 g;0 g;N/D;0 g
Coca-Cola OriginalCoca-Cola Original 6 x 150ml;acqua e bevande;€ 3,55;900.0 ml;42 kcal;10.6 g;10.6 g;N/D;N/D;N/D
CarrefourCarrefour Aranciata Zero zuccheri aggiunti* 1,5 l;acqua e bevande;€ 0,79;1500.0 ml;8 kcal;1,7 g;1,7 g;<0,5 g;N/D;<0,5 g
ValmoraValmora Sorgente Alpina Naturale 12 x 0,5 L;acqua e bevande;€ 3,36;6.0 l;N/D;N/D;N/D;N/D;N/D;N/D
Zuegg SkipperZuegg Skipper ACE Senza zuccheri aggiunti* 3 x 200 ml;acqua e bevande;€ 1,95;600.0 ml;140 kJ/ 33 kcal;7,3 g;7,2 g;0 g;N/D;0 g
EstathéEstathé zero limone 1,5 L;acqua e bevande;€ 2,05;1500.0 ml;1 kcal;1,3 g;0 g;0 g;N/D;0 g
YogaYoga ACE 1000 ml;acqua e bevande;€ 1,85;1000.0 ml;42 kcal;10,1 g;10,1 g;0,0 g;0,2 g;0,2 g
SANPELLEGRINOSANPELLEGRINO Chinò Zero Zuccheri Aggiunti, Lattina 33 cl;acqua e bevande;€ 0,69;330.0 ml;3 kcal;0,1 g;0,1 g;0 g;0 g;0 g
SchweppesSchweppes Tonica PET 1 L;acqua e bevande;€ 1,35;1000.0 ml;37 kcal;8,9 g;8,9 g;0 g;N/D;0 g
BoarioBoario Frizzante 6 x 1,5 L;acqua e bevande;€ 2,70;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
MonsterMonster Energy Ultra Golden Pineapple 500ml;acqua e bevande;€ 1,65;500.0 ml;2 kcal;1,1 g;0 g;N/D;N/D;N/D
LauretanaLauretana Acqua Minerale Naturale 6 x 500 ml;acqua e bevande;€ 2,16;3000.0 ml;N/D;N/D;N/D;N/D;N/D;N/D
YogaYoga Pera 1000 ml;acqua e bevande;€ 1,85;1000.0 ml;57 kcal;13,7 g;11,9 g;0,1 g;0,8 g;0,2 g
SanThèSanThè Sant'Anna Limone 1,5 L;acqua e bevande;€ 1,39;N/D;39 kcal;9,5 g;9,5 g;0 g;N/D;0 g
Fuze TeaFuze Tea, Tè Alla Pesca E Rosa 1.25L;acqua e bevande;€ 1,75;1250.0 ml;33 kcal;8.0 g;8.0 g;0 g;N/D;0 g
Fuze Tea ZeroFuze Tea Limone E Lemongrass Zero 1.25L;acqua e bevande;€ 1,75;1250.0 ml;1 kcal;0 g;0 g;0 g;N/D;0 g
PepsiPepsi Zero Zucchero Gusto Lime 330 ml;acqua e bevande;€ 0,55;330.0 ml;0,7 kcal;0,1 g;0,0 g;0,0 g;N/D;0,1 g
S. BernardoS.Bernardo Rocciaviva Frizzante 6 x 1,5 L;acqua e bevande;€ 3,54;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
San BenedettoSan Benedetto Acqua Naturale Benedicta Ecogreen 6 x 2 L;acqua e bevande;€ 3,48;12.0 l;N/D;N/D;N/D;N/D;N/D;N/D
SpriteSprite 1.5L;acqua e bevande;€ 2,19;1500.0 ml;37 kcal;9 g;9 g;0 g;N/D;0 g
CarrefourCarrefour Sensation Tonica Zero 1 L;acqua e bevande;€ 0,79;1000.0 ml;1 kcal;0 g;0 g;0 g;N/D;0 g
EstathéEstathé pesca 3 x 200 ml;acqua e bevande;€ 1,89;600.0 ml;32 kcal;7,7 g;7,7 g;0 g;N/D;0 g
Sant'AnnaSant'Anna di Vinadio Frizzante 6 x 0,5 L;acqua e bevande;€ 1,98;N/D;N/D;N/D;N/D;N/D;N/D;N/D
SANPELLEGRINOBIBITE SANPELLEGRINO, Bevanda Gassata, Chinò, Pet - 120cl;acqua e bevande;€ 1,45;1200.0 ml;38 kcal;8,9 g;8,9 g;0 g;0 g;0 g
EstathéEstathé pesca 400 ml;acqua e bevande;€ 0,99;400.0 ml;32 kcal;7,7 g;7,7 g;0 g;N/D;0 g
Sant'AnnaSant'Anna Frizzante di Vinadio 6 x 1 L;acqua e bevande;€ 3,00;N/D;N/D;N/D;N/D;N/D;N/D;N/D
PepsiPepsi 1,5 L;acqua e bevande;€ 1,29;1500.0 ml;18 kcal;4,6 g;4,6 g;0,0 g;N/D;0,0 g
PepsiPepsi Zero Zucchero 330 ml;acqua e bevande;€ 0,55;330.0 ml;0,6 kcal;<0,1 g;0,0 g;0,0 g;N/D;<0,1 g
YogaYoga Optimum 70% Pesca Italiana 6 x 200 ml;acqua e bevande;€ 3,39;1200.0 ml;227 kJ - 54 kcal;12,0 g;12,0 g;0,1 g;1,1 g;0,6 g
Filiera Qualità CarrefourArrosto Magro di Vitello Filiera Qualità Carrefour;Carne;€ 15,74;0.75 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourCostata con Osso di Bovino Adulto Filiera Qualità Carrefour;Carne;€ 27,59;1.20 kg;N/D;N/D;N/D;N/D;N/D;N/D
SpiedìSpiedì gli Arrosticini Certificati ovino adulto 0,200 Kg;Carne;€ 6,99;200.0 g;814 kJ 195 kcal;0,24 g;<0,50 g;13,11 g;N/D;19,10 g
CarrefourCarrefour Filiera Qualità Petto di Pollo a Fette;Carne;€ 5,95;350.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaHamburger di Chianina;Carne;€ 7,00;N/D;593KJ, 164 Kcal;2,2g;<0,5g;9,7g;N/D;17g
Filiera Qualità CarrefourScaloppine di coscia di vitello Filiera Qualità Carrefour;Carne;€ 7,35;0.35 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Mini spiedini Suino 300 g;Carne;€ 4,49;300.0 g;181 kcal;0 g;0 g;13 g;N/D;16 g
ProSusProSus le Buone Terre Straccetti di Lonza al Limone 250 g;Carne;€ 4,49;250.0 g;96 kcal;0,9 g;0,2 g;1,7 g;N/D;19 g
MartiniMartini Winter on Fire Crocché di Pollo con Formaggio 0,360 kg;Carne;€ 3,99;360.0 g;864 kJ/207 kcal;9,7 g;1,7 g;11 g;N/D;16 g
Carrefour BioCarrefour Bio Hamburger di Pollo Biologico;Carne;€ 4,89;200.0 g;498kJ/118kcal;4,0g;<0,5g;3,8g;N/D;17g
CarrefourCarrefour il Mercato Carne marinata alla tartare Bovino Adulto 2 x 105 g;Carne;€ 5,79;210.0 g;386kJ (91kcal);0g;0g;1,3g;N/D;20g
Filiera Qualità CarrefourFettine Sottili di Bovino Adulto;Carne;€ 8,85;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
I Porci ComodiCutechin d'na Volta;Carne;€ 8,49;N/D;N/D;N/D;N/D;N/D;N/D;N/D
I Porci ComodiZampun d'na Volta;Carne;€ 22,09;N/D;N/D;N/D;N/D;N/D;N/D;N/D
i Selezionati Carrefouri Selezionati Carrefour Macelleria Salsiccia di Suino Famiglia;Carne;€ 5,99;800.00 gr;802 kJ /193 kcal;0,5 g;0,5 g;14 g;N/D;16 g
I Freschi di CarrefourSalsiccia di suino con peperoncino;Carne;€ 4,40;400.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
Banco MacelleriaCostolette di Agnello;Carne;€ 21,99;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Filiera Qualità Sovracosce di Pollo x6;Carne;€ 5,83;800.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
i Selezionati Carrefouri Selezionati Carrefour Macelleria Salsiccia di Pollo 0,450 kg;Carne;€ 3,59;450.0 g;815kJ/196kcal;2,1g;0,9g;16g;N/D;11g
CarrefourCarrefour Filiera Qualità Petto di Pollo;Carne;€ 6,89;500.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Filiera Qualità Fusi di Pollo x6;Carne;€ 6,38;875.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Filiera Qualità Alette di Pollo;Carne;€ 3,02;550.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourPollo in parti;Carne;€ 6,79;800.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourMacinato di pollo;Carne;€ 4,59;300.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourBusto di faraona eviscerato;Carne;€ 9,89;1000.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
FindusFindus Pisellini Primavera 450 g;Carne;€ 3,55;450.0 g;285 kJ / 68 kcal;7,5 g;4,9 g;0,7 g;6 g;4,9 g
FindusFindus Pisellini Primavera 700 g;Carne;€ 3,69;700.0 g;68 kcal;7,5 g;4,9 g;0,7 g;6,0 g;4,9 g
FindusFindus Fagiolini Primavera 600 g;Carne;€ 4,10;600.0 g;34 kcal;4,7 g;2,1 g;<0,5 g;4,1 g;1,7 g
FindusFindus Ciuffetti di Spinaci Primavera 800 g;Carne;€ 4,10;800.0 g;19 kcal;0,5 g;<0,5 g;<0,5 g;2,1 g;3,1 g
FindusFindus Piselli Novelli 1000 g;Carne;€ 5,10;1000.0 g;68 kcal;7,5 g;4,9 g;0,7 g;6,0 g;4,9 g
CarrefourAli di pollo Maxi;Carne;€ 10,97;2.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourTrita di vitello Filiera Qualità Carrefour;Carne;€ 6,75;0.45 kg;N/D;N/D;N/D;N/D;N/D;N/D
AiaAia Pollo Fusi;Carne;€ 2,70;450.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourCarpaccio di vitello Filiera Qualità Carrefour;Carne;€ 6,82;0.22 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourFette Scelta a Fette di Vitello Filiera Qualità Carrefour;Carne;€ 10,80;0.45 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourBocconcini di Vitello Filiera Qualità Carrefour;Carne;€ 16,09;0.70 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourCotolette Nodini di vitello Filiera Qualità Carrefour;Carne;€ 9,60;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
VitelloFesa scelta a fette di vitello;Carne;€ 11,99;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourOssibuchi di vitello Filiera Qualità Carrefour;Carne;€ 12,34;0.65 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourSottofiletto di Vitello Filiera Qualità Carrefour;Carne;€ 8,07;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
PolloFusi di Pollo 0,950 kg;Carne;€ 6,29;950.0 g;N/D;N/D;N/D;N/D;N/D;N/D
VitelloCotolette/nodini di vitello;Carne;€ 12,49;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourArrosto di codino di Vitello Filiera Qualità Carrefour;Carne;€ 15,39;0.55 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourCotolette o Nodini di vitello Filiera Qualità Carrefour;Carne;€ 18,39;0.80 kg;N/D;N/D;N/D;N/D;N/D;N/D
FioraniFiorani Salsiccette con Vitello 300 g;Carne;€ 5,99;300.0 g;189 kcal;<0,5 g;<0,5 g;14 g;<0,5 g;16 g
Filiera Qualità CarrefourTagliata di vitello Filiera Qualità Carrefour;Carne;€ 14,45;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourFesa Scelta a pezzi di vitello Filiera Qualità Carrefour;Carne;€ 17,51;0.80 kg;N/D;N/D;N/D;N/D;N/D;N/D
